"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Urías, Ramón","602104","2022","445","312",0.248,0.247,0.0010000000000000009,0.414,0.432,-0.018000000000000016,0.313,0.322,-0.009000000000000008
"Gordon, Nick","624503","2022","443","309",0.272,0.259,0.013000000000000012,0.427,0.479,-0.05199999999999999,0.321,0.336,-0.015000000000000013
"Castro, Harold","605612","2022","443","346",0.271,0.272,-0.0010000000000000009,0.381,0.433,-0.05199999999999999,0.297,0.317,-0.020000000000000018
"Harris II, Michael","671739","2022","441","308",0.297,0.266,0.030999999999999972,0.514,0.475,0.039000000000000035,0.368,0.339,0.02899999999999997
"Ramírez, Harold","623912","2022","435","335",0.3,0.276,0.023999999999999966,0.404,0.397,0.007000000000000006,0.327,0.315,0.01200000000000001
"Moncada, Yoán","660162","2022","433","285",0.212,0.217,-0.0050000000000000044,0.353,0.389,-0.03600000000000003,0.275,0.291,-0.01599999999999996
"Tapia, Raimel","606132","2022","433","334",0.265,0.256,0.009000000000000008,0.38,0.376,0.0040000000000000036,0.293,0.288,0.0050000000000000044
"Ruiz, Keibert","660688","2022","433","347",0.251,0.275,-0.02400000000000002,0.36,0.414,-0.05399999999999999,0.299,0.329,-0.030000000000000027
"Pederson, Joc","592626","2022","433","284",0.274,0.26,0.014000000000000012,0.521,0.514,0.007000000000000006,0.373,0.367,0.006000000000000005
"Cabrera, Miguel","408234","2022","433","301",0.254,0.233,0.02099999999999999,0.317,0.34,-0.02300000000000002,0.275,0.277,-0.0020000000000000018
"India, Jonathan","663697","2022","431","292",0.249,0.24,0.009000000000000008,0.378,0.367,0.01100000000000001,0.314,0.306,0.008000000000000007
"Harper, Bryce","547180","2022","426","290",0.286,0.284,0.0020000000000000018,0.514,0.542,-0.028000000000000025,0.369,0.381,-0.01200000000000001
"Chavis, Michael","656308","2022","426","279",0.229,0.215,0.014000000000000012,0.389,0.345,0.04400000000000004,0.282,0.263,0.01899999999999996
"Vázquez, Christian","543877","2022","426","332",0.274,0.257,0.017000000000000015,0.399,0.38,0.019000000000000017,0.312,0.3,0.01200000000000001
"d'Arnaud, Travis","518595","2022","426","306",0.268,0.245,0.02300000000000002,0.472,0.429,0.04299999999999998,0.343,0.316,0.027000000000000024
"Morel, Christopher","666624","2022","425","247",0.235,0.228,0.0069999999999999785,0.433,0.445,-0.01200000000000001,0.322,0.324,-0.0020000000000000018
"Harrison, Josh","543281","2022","425","319",0.256,0.233,0.022999999999999993,0.37,0.348,0.02200000000000002,0.305,0.289,0.016000000000000014
"Calhoun, Kole","594777","2022","424","255",0.196,0.221,-0.024999999999999994,0.33,0.401,-0.07100000000000001,0.26,0.298,-0.03799999999999998
"Gamel, Ben","592325","2022","423","274",0.232,0.244,-0.011999999999999983,0.369,0.388,-0.019000000000000017,0.308,0.321,-0.013000000000000012
"Senzel, Nick","669222","2022","420","300",0.231,0.25,-0.01899999999999999,0.306,0.366,-0.06,0.272,0.303,-0.030999999999999972
"Hosmer, Eric","543333","2022","419","317",0.268,0.253,0.015000000000000013,0.382,0.377,0.0050000000000000044,0.313,0.308,0.0050000000000000044
"Choi, Ji Man","596847","2022","419","236",0.233,0.233,0,0.388,0.422,-0.033999999999999975,0.322,0.338,-0.016000000000000014
"Greene, Riley","682985","2022","418","259",0.253,0.246,0.007000000000000006,0.362,0.402,-0.040000000000000036,0.303,0.32,-0.017000000000000015
"Raleigh, Cal","663728","2022","415","253",0.211,0.214,-0.0030000000000000027,0.489,0.485,0.0040000000000000036,0.33,0.329,0.0010000000000000009
"Thomas, Alek","677950","2022","411","312",0.231,0.237,-0.005999999999999978,0.344,0.345,-0.0010000000000000009,0.272,0.28,-0.008000000000000007
"Gallo, Joey","608336","2022","410","188",0.16,0.168,-0.008000000000000007,0.357,0.398,-0.041000000000000036,0.286,0.302,-0.016000000000000014
"Sheets, Gavin","657757","2022","410","294",0.241,0.221,0.01999999999999999,0.411,0.365,0.045999999999999985,0.308,0.284,0.02400000000000002
"Daza, Yonathan","602074","2022","408","320",0.301,0.286,0.015000000000000013,0.384,0.368,0.016000000000000014,0.323,0.316,0.007000000000000006
"Robles, Victor","645302","2022","407","277",0.224,0.206,0.018000000000000016,0.311,0.295,0.016000000000000014,0.26,0.251,0.009000000000000008
"McCormick, Chas","676801","2022","407","254",0.245,0.23,0.014999999999999986,0.407,0.423,-0.016000000000000014,0.326,0.326,0
"Taylor, Tyrone","621438","2022","405","274",0.233,0.236,-0.002999999999999975,0.442,0.43,0.01200000000000001,0.314,0.312,0.0020000000000000018
"Berti, Jon","542932","2022","404","270",0.24,0.238,0.0020000000000000018,0.338,0.37,-0.03199999999999997,0.298,0.311,-0.013000000000000012
"Torkelson, Spencer","679529","2022","404","263",0.203,0.221,-0.017999999999999988,0.319,0.391,-0.07200000000000001,0.272,0.306,-0.033999999999999975
"Hernández, Enrique","571771","2022","402","294",0.222,0.235,-0.012999999999999984,0.338,0.366,-0.02799999999999997,0.28,0.298,-0.01799999999999996
"Robert Jr., Luis","673357","2022","401","304",0.284,0.277,0.006999999999999951,0.426,0.47,-0.043999999999999984,0.324,0.336,-0.01200000000000001
"Nola, Austin","543592","2022","397","297",0.251,0.257,-0.006000000000000005,0.329,0.369,-0.03999999999999998,0.29,0.312,-0.02200000000000002
"Story, Trevor","596115","2022","396","239",0.238,0.22,0.017999999999999988,0.434,0.416,0.018000000000000016,0.316,0.306,0.010000000000000009
"Castro, Willi","650489","2022","392","287",0.241,0.255,-0.014000000000000012,0.367,0.344,0.02300000000000002,0.285,0.288,-0.0030000000000000027
"Franco, Maikel","596748","2022","388","299",0.229,0.243,-0.013999999999999985,0.342,0.363,-0.020999999999999963,0.261,0.275,-0.014000000000000012
"Ruf, Darin","573131","2022","388","232",0.204,0.218,-0.014000000000000012,0.338,0.386,-0.04799999999999999,0.291,0.315,-0.02400000000000002
"Segura, Jean","516416","2022","387","297",0.277,0.252,0.025000000000000022,0.387,0.368,0.019000000000000017,0.32,0.303,0.017000000000000015
"Stallings, Jacob","607732","2022","384","266",0.223,0.221,0.0020000000000000018,0.292,0.324,-0.03200000000000003,0.265,0.277,-0.01200000000000001
