"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","fielding_runs_prevented_on_rec1b","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bogaerts, Xander",593428,3.8204594149483877,3.8204594149483877,2.177438000414483,0.09888628522368038,1.5441351293102246,,,,,,3096,0,0,0,0,3096,0,0,0
"Chisholm Jr., Jazz",665862,3.7617739345306656,3.7617739345306656,6.037984027648594,0.0005480952411390065,-2.276758188359068,,,,,,2956,0,0,2956,0,0,0,0,0
"Hayes, Ke'Bryan",663647,3.7473335555862013,3.7473335555862013,2.4880403279478385,,1.2592932276383633,,,,,,1552,0,0,0,1552,0,0,0,0
"Langford, Wyatt",694671,3.724396477740681,3.724396477740681,2.5291814269420487,1.1952150507986308,,,,,,,1683,0,0,0,0,0,1356,327,0
"Happ, Ian",664023,3.7231194464640285,3.7231194464640285,-0.16379284479308553,3.886912291257114,,,,,,,3089,0,0,0,0,0,3089,0,0
"Carroll, Corbin",682998,3.6864737517488986,3.6864737517488986,8.433849871372075,-4.747376119623182,,,,,,,3133,0,0,0,0,0,0,0,3133
"Varsho, Daulton",662139,3.5460795757745673,3.5460795757745673,4.825440461430459,-1.279360885655893,,,,,,,2708,0,0,0,0,0,27,2681,0
"De La Cruz, Elly",682829,3.544207187069699,3.544207187069699,4.320952603946323,0.004548782316262562,-0.7812941991928868,,,,,,2746,0,0,0,0,2746,0,0,0
"Friedl, TJ",670770,3.428524314195946,3.428524314195946,3.6975594937031397,-0.26903517950719263,,,,,,,1577,0,0,0,0,0,303,1274,0
"Smith, Cam",701358,3.41402721670938,3.41402721670938,4.918685317196222,-1.50465810048684,,,,,,,3016,0,0,0,0,0,0,6,3010
"Barrosa, Jorge",678489,3.41307948568343,3.41307948568343,4.904187563271472,-1.491108077588044,,,,,,,1204,0,0,0,0,0,204,725,275
"Simpson, Chandler",802415,3.3731306408897908,3.3731306408897908,6.178830076017204,-2.8056994351274143,,,,,,,2973,0,0,0,0,0,2925,48,0
"Narváez, Carlos",665966,3.3611376617314437,,,,,,3.3611376617314437,2.0695114987651,-0.342963885873338,1.6345900488396794,1782,1782,0,0,0,0,0,0,0
"Dubón, Mauricio",643289,3.350515903148548,3.350515903148548,2.6570900006491707,1.580793672090795,-0.8873677695914188,,,,,,3099,0,0,27,81,926,1708,357,0
"Straw, Myles",664702,3.285183317517004,3.285183317517004,3.692014599053049,-0.4068312815360461,,,,,,,1658,0,0,0,0,0,514,643,492
"Lile, Daylen",695734,3.240777667738906,3.240777667738906,1.630506232218356,1.6102714355205503,,,,,,,2705,0,0,0,0,0,2651,0,54
"Marsee, Jakob",805300,3.2194398061432934,3.2194398061432934,5.489876312145078,-2.2704365060017837,,,,,,,2935,0,0,0,0,0,0,2935,0
"Burleson, Alec",676475,3.08448527109505,3.08448527109505,-2.659071222392792,,0.7271900775376952,5.016366415950149,,,,,3196,0,3196,0,0,0,0,0,0
"Montgomery, Braden",695731,3.07318804325533,3.07318804325533,1.650303120933135,1.422884922322195,,,,,,,1573,0,0,0,0,0,0,6,1567
"Duran, Jarren",680776,3.007483457783341,3.007483457783341,3.2599884612516554,-0.25250500346831495,,,,,,,2859,0,0,0,0,0,2676,183,0
"Marte, Ketel",606466,3.0018144313362427,3.0018144313362427,1.5673135315345978,0.15182693515987133,1.2826739646417733,,,,,,2465,0,0,2465,0,0,0,0,0
"Hill, Derek",656537,2.901067652626533,2.901067652626533,2.6202180182630777,0.28084963436345617,,,,,,,1249,0,3,0,0,0,91,567,588
"Muncy, Max",571970,2.8761354725523374,2.8761354725523374,2.04731223295038,,0.8288232396019566,,,,,,2778,0,0,0,2778,0,0,0,0
"Isbel, Kyle",664728,2.8045058320323846,2.8045058320323846,4.157086618206794,-1.3525807861744092,,,,,,,1664,0,0,0,0,0,0,1664,0
"Naylor, Josh",647304,2.7831283053435154,2.7831283053435154,0.6098342702244107,,0.9647430379837997,1.2085509971353057,,,,,3108,0,3108,0,0,0,0,0,0
"Jordan, Blaze",691458,2.750153022136277,2.750153022136277,2.11402195868723,,-0.12085915129362715,0.7569902147426746,,,,,1229,0,147,0,1082,0,0,0,0
"Pasquantino, Vinnie",686469,2.742002321814247,2.742002321814247,0.7361689855120372,,0.11803435976984736,1.887798976532363,,,,,2082,0,2082,0,0,0,0,0,0
"Chourio, Jackson",694192,2.7381564580272157,2.7381564580272157,2.972815804918256,-0.23465934689103973,,,,,,,2400,0,0,0,0,0,2200,197,3
"Vargas, Ildemaro",545121,2.6218128917775525,2.6218128917775525,0.8755939022330536,,0.9297934874860094,0.8164255020584903,,,,,2414,0,1315,929,72,75,12,0,0
"Crews, Dylan",686611,2.607482908044994,2.607482908044994,2.775068482424463,-0.16758557437947036,,,,,,,1854,0,0,0,0,0,204,576,1074
"McLain, Matt",680574,2.6029225566016025,2.6029225566016025,3.181669814129246,-0.1780711771856555,-0.4006760803419898,,,,,,2556,0,0,1942,0,569,0,45,0
"Torres, Gleyber",650402,2.6004740784849143,2.6004740784849143,1.3238037659773954,,1.276670312507519,,,,,,1411,0,0,1411,0,0,0,0,0
"McMahon, Ryan",641857,2.5163539193963294,2.5163539193963294,3.455270595300775,,-0.9389166759044453,,,,,,2257,0,0,0,2227,30,0,0,0
"Outman, James",681546,2.4068947080126954,2.4068947080126954,1.6201866505692217,0.7867080574434735,,,,,,,1345,0,0,0,0,0,213,1063,69
"Martin, Austin",668885,2.387961344609573,2.387961344609573,0.9990333530712335,1.3889279915383388,,,,,,,2040,0,0,0,0,0,808,141,1091
"Busch, Michael",683737,2.3809670122575692,2.3809670122575692,2.602814624477698,,-0.10118486331642529,-0.12066274890370571,,,,,3329,0,3329,0,0,0,0,0,0
"Carrigg, Cole",694249,2.3321507066537595,2.3321507066537595,1.2493846322100344,1.12530092922615,-0.042534854782423866,,,,,,1406,0,0,0,0,93,0,1298,15
"Martínez, Angel",682657,2.3123848551233963,2.3123848551233963,1.1710198033992825,1.1413650517241127,,,,,,,1966,0,0,0,0,0,1128,78,760
"Bolte, Henry",703607,2.298417954411195,2.298417954411195,0.5769504951939165,1.721467459217277,,,,,,,2028,0,0,0,0,0,0,2028,0
"Kreidler, Ryan",668952,2.2184658440805802,2.2184658440805802,1.3320988508604958,0.3248535788126314,0.5615134144074535,,,,,,1584,0,0,44,135,967,30,408,0
"Realmuto, J.T.",592663,2.1378128595989,,,,,,2.1378128595989,-0.3125008303713068,2.6028349654378053,-0.1525212754676001,2418,2418,0,0,0,0,0,0,0
"Jensen, Carter",695600,2.1158877810030186,,,,,,2.1158877810030186,2.847148813012169,2.406035846385752,-3.1372968783948996,1887,1887,0,0,0,0,0,0,0
"Vivas, Jorbit",678391,2.1056403664054,2.1056403664054,2.026601967044597,,0.0790383993608031,,,,,,1674,0,0,699,967,0,0,0,0
"Meckler, Wade",685133,2.100588863090437,2.100588863090437,2.0183707298915126,0.08221813319892385,,,,,,,1358,0,0,0,0,0,1235,0,123
