"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Belt, Brandon","474832","2023","404","200",0.254,0.207,0.047000000000000014,0.49,0.435,0.05499999999999999,0.369,0.333,0.035999999999999976
"Laureano, Ramón","657656","2023","404","248",0.224,0.227,-0.0030000000000000027,0.371,0.377,-0.006000000000000005,0.298,0.304,-0.006000000000000005
"McLain, Matt","680574","2023","403","250",0.29,0.252,0.03799999999999998,0.507,0.441,0.066,0.37,0.332,0.03799999999999998
"Wong, Connor","657136","2023","403","241",0.235,0.208,0.026999999999999996,0.385,0.365,0.020000000000000018,0.292,0.274,0.01799999999999996
"Thomas, Alek","677950","2023","402","293",0.23,0.247,-0.016999999999999987,0.374,0.374,0,0.278,0.291,-0.012999999999999956
"Sánchez, Jesús","660821","2023","402","255",0.253,0.261,-0.008000000000000007,0.45,0.477,-0.02699999999999997,0.334,0.35,-0.01599999999999996
"Tauchman, Mike","643565","2023","401","255",0.252,0.261,-0.009000000000000008,0.377,0.401,-0.02400000000000002,0.33,0.343,-0.013000000000000012
"DeJong, Paul","657557","2023","400","253",0.207,0.216,-0.009000000000000008,0.355,0.361,-0.006000000000000005,0.266,0.277,-0.01100000000000001
"Urías, Ramón","602104","2023","396","260",0.264,0.223,0.04100000000000001,0.375,0.339,0.035999999999999976,0.31,0.281,0.02899999999999997
"Baty, Brett","683146","2023","389","246",0.212,0.235,-0.022999999999999993,0.323,0.383,-0.06,0.266,0.3,-0.033999999999999975
"Taylor, Michael A.","572191","2023","388","229",0.22,0.22,0,0.442,0.441,0.0010000000000000009,0.308,0.309,-0.0010000000000000009
"Moustakas, Mike","519058","2023","386","265",0.247,0.215,0.032,0.392,0.355,0.03700000000000003,0.294,0.271,0.022999999999999965
"Olivares, Edward","658668","2023","385","292",0.263,0.266,-0.0030000000000000027,0.452,0.452,0,0.329,0.335,-0.006000000000000005
"Taylor, Chris","621035","2023","384","214",0.237,0.219,0.017999999999999988,0.42,0.401,0.01899999999999996,0.323,0.311,0.01200000000000001
"Ibáñez, Andy","628451","2023","383","289",0.264,0.266,-0.0020000000000000018,0.433,0.446,-0.013000000000000012,0.32,0.33,-0.010000000000000009
"Chisholm Jr., Jazz","665862","2023","383","237",0.25,0.22,0.03,0.457,0.433,0.02400000000000002,0.325,0.307,0.018000000000000016
"Yastrzemski, Mike","573262","2023","381","234",0.233,0.228,0.0050000000000000044,0.445,0.428,0.017000000000000015,0.333,0.326,0.007000000000000006
"Fraley, Jake","641584","2023","380","266",0.256,0.256,0,0.443,0.406,0.03699999999999998,0.338,0.327,0.01100000000000001
"Moreno, Gabriel","672515","2023","380","273",0.284,0.264,0.019999999999999962,0.408,0.391,0.01699999999999996,0.325,0.316,0.009000000000000008
"Brown, Seth","664913","2023","378","245",0.222,0.232,-0.010000000000000009,0.405,0.455,-0.04999999999999999,0.298,0.322,-0.02400000000000002
"Diaz, Yainer","673237","2023","377","287",0.282,0.28,0.0019999999999999463,0.538,0.546,-0.008000000000000007,0.354,0.358,-0.0040000000000000036
"Heyward, Jason","518792","2023","377","273",0.269,0.245,0.02400000000000002,0.473,0.409,0.064,0.348,0.318,0.02999999999999997
"Donovan, Brendan","680977","2023","371","276",0.284,0.285,-0.0010000000000000009,0.422,0.444,-0.02200000000000002,0.345,0.356,-0.01100000000000001
"Bae, Ji Hwan","678225","2023","371","247",0.231,0.22,0.01100000000000001,0.311,0.294,0.017000000000000015,0.272,0.266,0.006000000000000005
"Cabrera, Miguel","408234","2023","370","263",0.257,0.243,0.014000000000000012,0.353,0.365,-0.01200000000000001,0.299,0.301,-0.0020000000000000018
"Farmer, Kyle","571657","2023","369","252",0.256,0.249,0.007000000000000006,0.408,0.409,-0.0010000000000000009,0.316,0.314,0.0020000000000000018
