"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Corbin, Patrick","571578","2023","790","605",0.293,0.298,-0.0050000000000000044,0.481,0.52,-0.039000000000000035,0.353,0.373,-0.020000000000000018,"5.20","6.16","-0.96"
"Wheeler, Zack","554430","2023","787","527",0.229,0.227,0.0020000000000000018,0.364,0.356,0.008000000000000007,0.277,0.278,-0.0010000000000000009,"3.61","3.21","0.399"
"Burnes, Corbin","669203","2023","784","510",0.2,0.221,-0.02099999999999999,0.324,0.347,-0.022999999999999965,0.266,0.287,-0.020999999999999963,"3.39","3.43","-0.038"
"Cease, Dylan","656302","2023","784","481",0.25,0.239,0.01100000000000001,0.405,0.386,0.019000000000000017,0.321,0.314,0.007000000000000006,"4.58","4.16","0.416"
"Berríos, José","621244","2023","782","537",0.241,0.257,-0.016000000000000014,0.397,0.441,-0.043999999999999984,0.302,0.327,-0.025000000000000022,"3.65","4.55","-0.896"
"Oviedo, Johan","670912","2023","781","525",0.237,0.245,-0.008000000000000007,0.397,0.407,-0.009999999999999953,0.319,0.33,-0.01100000000000001,"4.31","4.64","-0.334"
"Montgomery, Jordan","656756","2023","777","559",0.247,0.249,-0.0020000000000000018,0.393,0.41,-0.01699999999999996,0.298,0.308,-0.010000000000000009,"3.20","3.98","-0.784"
"Gilbert, Logan","669302","2023","770","543",0.233,0.238,-0.004999999999999977,0.409,0.411,-0.0020000000000000018,0.29,0.295,-0.0050000000000000044,"3.73","3.63","0.099"
"Gausman, Kevin","592332","2023","763","466",0.233,0.231,0.0020000000000000018,0.379,0.406,-0.027000000000000024,0.292,0.303,-0.01100000000000001,"3.16","3.85","-0.688"
"Strider, Spencer","675911","2023","763","415",0.21,0.202,0.00799999999999998,0.355,0.347,0.008000000000000007,0.279,0.273,0.006000000000000005,"3.86","3.09","0.767"
"Alcantara, Sandy","645261","2023","762","557",0.251,0.26,-0.009000000000000008,0.391,0.418,-0.02699999999999997,0.301,0.319,-0.018000000000000016,"4.14","4.30","-0.157"
"Kirby, George","669923","2023","757","560",0.246,0.258,-0.01200000000000001,0.395,0.427,-0.03199999999999997,0.284,0.305,-0.02100000000000002,"3.35","3.90","-0.549"
"Gray, Sonny","543243","2023","754","510",0.226,0.24,-0.013999999999999985,0.319,0.372,-0.05299999999999999,0.27,0.298,-0.02799999999999997,"2.79","3.71","-0.922"
"Lyles, Jordan","543475","2023","748","575",0.255,0.26,-0.0050000000000000044,0.501,0.483,0.018000000000000016,0.34,0.339,0.0010000000000000009,"6.28","4.93","1.351"
"Snell, Blake","605483","2023","742","405",0.181,0.205,-0.023999999999999994,0.286,0.352,-0.066,0.266,0.301,-0.034999999999999976,"2.25","3.79","-1.54"
"Luzardo, Jesús","666200","2023","741","472",0.239,0.23,0.00899999999999998,0.409,0.416,-0.007000000000000006,0.307,0.307,0,"3.58","3.96","-0.384"
"Sears, JP","676664","2023","735","505",0.249,0.243,0.006000000000000005,0.465,0.457,0.008000000000000007,0.335,0.332,0.0030000000000000027,"4.54","4.70","-0.156"
"Kremer, Dean","665152","2023","735","518",0.254,0.264,-0.010000000000000009,0.416,0.458,-0.04200000000000004,0.317,0.338,-0.02100000000000002,"4.12","4.90","-0.782"
"Walker, Taijuan","592836","2023","733","516",0.238,0.245,-0.007000000000000006,0.397,0.41,-0.012999999999999956,0.313,0.323,-0.010000000000000009,"4.38","4.42","-0.042"
"Elder, Bryce","693821","2023","732","532",0.245,0.258,-0.013000000000000012,0.39,0.415,-0.024999999999999967,0.309,0.327,-0.018000000000000016,"3.81","4.55","-0.737"
"Dunning, Dane","641540","2023","722","517",0.25,0.258,-0.008000000000000007,0.393,0.418,-0.024999999999999967,0.31,0.325,-0.015000000000000013,"3.70","4.48","-0.779"
"Kelly, Merrill","518876","2023","721","462",0.222,0.241,-0.01899999999999999,0.371,0.394,-0.02300000000000002,0.294,0.313,-0.019000000000000017,"3.29","4.13","-0.837"
"Steele, Justin","657006","2023","716","497",0.251,0.247,0.0040000000000000036,0.371,0.368,0.0030000000000000027,0.291,0.291,0,"3.06","3.53","-0.467"
"Morton, Charlie","450203","2023","716","437",0.244,0.244,0,0.371,0.403,-0.03200000000000003,0.318,0.33,-0.01200000000000001,"3.64","4.64","-1.003"
"Eflin, Zach","621107","2023","703","490",0.235,0.218,0.016999999999999987,0.379,0.382,-0.0030000000000000027,0.276,0.271,0.0050000000000000044,"3.50","3.04","0.455"
"Singer, Brady","663903","2023","702","512",0.287,0.271,0.01599999999999996,0.467,0.455,0.01200000000000001,0.346,0.339,0.006999999999999951,"5.52","4.93","0.594"
"Kikuchi, Yusei","579328","2023","700","467",0.255,0.245,0.010000000000000009,0.426,0.436,-0.010000000000000009,0.319,0.318,0.0010000000000000009,"3.87","4.27","-0.405"
"Gray, Josiah","680686","2023","698","466",0.251,0.251,0,0.412,0.436,-0.02400000000000002,0.332,0.342,-0.010000000000000009,"3.91","5.03","-1.124"
"Schmidt, Clarke","657376","2023","694","488",0.268,0.252,0.016000000000000014,0.451,0.42,0.031000000000000028,0.334,0.32,0.014000000000000012,"4.64","4.33","0.312"
"Senga, Kodai","673540","2023","694","409",0.208,0.222,-0.014000000000000012,0.327,0.369,-0.04199999999999998,0.282,0.305,-0.02300000000000002,"2.98","3.90","-0.924"
"Javier, Cristian","664299","2023","687","459",0.234,0.228,0.006000000000000005,0.424,0.451,-0.027000000000000024,0.317,0.325,-0.008000000000000007,"4.56","4.48","0.076"
"Peralta, Freddy","642547","2023","680","409",0.212,0.211,0.0010000000000000009,0.387,0.364,0.02300000000000002,0.291,0.284,0.007000000000000006,"3.86","3.35","0.507"
"Freeland, Kyle","607536","2023","677","540",0.3,0.29,0.010000000000000009,0.506,0.52,-0.014000000000000012,0.36,0.364,-0.0040000000000000036,"5.03","5.81","-0.78"
"Ryan, Joe","657746","2023","672","435",0.248,0.22,0.027999999999999997,0.452,0.409,0.04300000000000004,0.316,0.292,0.02400000000000002,"4.51","3.55","0.959"
